Tank Name,Tank DPM,Dmg,Reload,Pen,Velo,Acc,Aim,Dispresion,DeP/Elev,Speed,Traverse,Power,P/W,Weight,Health,VR,Stat17,Stat18,Stat19,Stat20,Stat21
T-34,,,VII,T-34-2G FT,,2463,390,9.50s,192,800,0.40,3.00s,0.10 / 0.20 / 0.20,-5° / +15°,50 / 16,40°/s,520,16.39,31.7t,900,360
AMX 50 100,,,IX,AMX 30,,2690,390,8.70s,248,1100,0.37,2.30s,0.12 / 0.14 / 0.14,-8° / +20°,65 / 23,36°/s,720,22.36,32.2t,1650,390
IS-M,,,IX,IS-M,,2000,390,11.70s,221,850,0.42,2.80s,0.08 / 0.18 / 0.18,-5° / +20°,35 / 12,26°/s,750,13.70,54.7t,1650,350
Object 907,,,VIII,Obj. 907,,2954,320,6.50s,264,1535,0.36,2.00s,0.10 / 0.12 / 0.12,-5° / +16°,55 / 20,54°/s,610,17.09,35.7t,2000,400
Patton the Tank,No data
Object 777 Version II,,,X,Obj. 277,,2352,490,12.50s,265,1030,0.38,2.70s,0.08 / 0.16 / 0.16,-5.5° / +15.5°,55 / 15,32°/s,950,17.37,54.7t,2200,400
Tiger 131,,,X,Tiger I,,2154,280,7.80s,203,1000,0.34,2.50s,0.12 / 0.20 / 0.20,-7° / +13°,40 / 12,29°/s,760,13.26,57.3t,1550,380
T20,,,VII,T20,,1532,240,9.40s,160,853,0.38,2.30s,0.12 / 0.20 / 0.20,-10° / +25°,56 / 20,42°/s,610,19.98,30.5t,1200,390
Gabler’s Destroyer,,,V,G. Destroyer,,1084,75,13.60s,95,892,0.41,2.00s,0.12 / 0.18 / 0.18,-12° / +20°,65 / 25,55°/s,570,28.86,19.8t,580,360
O-I Experimental,,,V,O-I Exp.,,2027,125,3.70s,124,821,0.39,2.30s,0.12 / 0.20 / 0.22,-10° / +20°,25 / 12,22°/s,1200,12.04,99.7t,920,360
110,,,V,T110E5,,2727,400,8.80s,258,1067,0.35,2.00s,0.06 / 0.14 / 0.14,-8° / +15°,37 / 12,30°/s,875,16.37,53.5t,2200,400
Projekt ION,,,X,Projekt ION,,1937,460,25.00s,208,1020,0.42,3.00s,0.12 / 0.20 / 0.20,-8° / +15°,35 / 15,26°/s,650,13.62,47.7t,1500,370
KV-2,,,VI,KV-2 (R),,1750,700,24.00s,110,525,0.60,3.80s,0.15 / 0.26 / 0.26,-7° / +12°,35 / 11,24°/s,640,12.13,52.8t,960,330
TS-54,,,VI,TS-5,,2824,400,8.50s,248,860,0.44,1.80s,0.06 / 0.16 / 0.16,-5° / +20°,26 / 12,24°/s,750,12.56,59.7t,1500,370
Object 701,,,IX,Obj. 704,,2632,750,17.10s,286,880,0.36,2.70s,0.08 / 0.19 / 0.19,-6° / +18°,40 / 14,28°/s,800,16.53,48.4t,1600,360
AMX 13 105 AM mle. 50,,,IX,E 50,,2438,390,9.60s,230,1200,0.30,2.10s,0.08 / 0.14 / 0.14,-8° / +20°,60 / 20,44°/s,1000,16.05,62.3t,1800,400
SU-8,,,V,SU-85I,,2133,160,4.50s,119,800,0.42,2.30s,0.08 / 0.22 / 0.22,-5° / +25°,50 / 14,48°/s,300,13.56,22.1t,500,330
MT-25,,,VI,MT-25,,1533,115,4.50s,125,816,0.42,2.30s,0.10 / 0.14 / 0.14,-5° / +25°,62 / 23,48°/s,740,28.60,25.9t,760,360
AMX 12 t,,,VI,AMX 12 t,,1178,135,20.00s,144,1000,0.40,2.30s,0.14 / 0.16 / 0.16,-6° / +12°,60 / 23,38°/s,330,27.82,11.9t,750,360
Comet,,,VII,Comet,,2154,140,3.90s,164,884,0.34,2.30s,0.12 / 0.16 / 0.16,-12° / +20°,51.5 / 18,40°/s,700,21.59,32.4t,1250,380
Nashorn,,,VI,Nashorn,,2286,240,6.30s,203,1000,0.32,1.90s,0.08 / 0.22 / 0.22,-5° / +20°,40 / 15,45°/s,385,16.20,23.8t,670,360
WZ-111 model 1-4,,,VI,WZ-111 6,,2097,360,10.30s,227,1050,0.40,2.60s,0.12 / 0.20 / 0.20,-8° / +23°,40 / 15,30°/s,620,13.57,45.7t,1450,390
T-34 with L-11,,,V,T-34,,2217,85,2.30s,112,990,0.34,2.30s,0.16 / 0.25 / 0.25,-8° / +20°,56 / 20,45°/s,550,19.31,28.5t,650,350
T30,,,IX,T30,,2143,750,21.00s,276,870,0.37,2.90s,0.22 / 0.22 / 0.22,-10° / +15°,35 / 12,25°/s,930,14.52,64.1t,1650,380
Somua SAu 40,,,IV,SAu 40,,2894,410,8.50s,53,670,0.53,2.30s,0.08 / 0.24 / 0.24,-10° / +30°,37 / 12,38°/s,350,14.25,24.6t,430,330
ERAC 105 Proto,,,IX,ERAC 105 Pr,,1794,320,10.70s,222,1000,0.37,1.90s,0.10 / 0.20 / 0.20,-8° / +15°,70 / 23,45°/s,240,31.07,7.7t,1300,390
BT-2,,,II,BT-2,,1226,47,2.30s,51,757,0.44,2.30s,0.10 / 0.20 / 0.20,-8° / +25°,55 / 20,50°/s,490,46.40,10.6t,320,280
XM69 Hacker,,,II,Hacker,,2946,410,8.35s,273,1500,0.35,1.80s,0.06 / 0.07 / 0.07,-9° / +20°,48 / 20,50°/s,1050,21.13,49.7t,2100,420
A46,,,VI,A46,,1500,105,4.20s,105,785,0.45,2.00s,0.10 / 0.15 / 0.15,-9° / +20°,60 / 20,55°/s,350,22.53,15.5t,580,370
Type 71,,,X,Type 71,,2727,400,8.80s,260,1050,0.22,2.00s,0.10 / 0.14 / 0.14,-7° / +20°,40 / 16,30°/s,1050,17.59,59.7t,2200,400
VK 36.01 (H),,,VI,VK 30.01 D,,1929,135,4.20s,150,925,0.35,2.30s,0.16 / 0.23 / 0.23,-8° / +20°,60 / 20,40°/s,700,21.31,32.9t,860,370
Conqueror FL,,,X,S. Conqueror,,2500,400,9.60s,259,1067,0.33,2.00s,0.10 / 0.12 / 0.12,-10° / +15°,34.3 / 12,26°/s,1120,14.60,76.7t,2300,400
Spähpanzer SP I C,,,VII,SP I C,,1760,220,7.50s,158,820,0.36,2.20s,0.10 / 0.16 / 0.16,-10° / +15°,58 / 22,64°/s,230,25.01,9.2t,1000,390
